User,Games,language
StreamerHouse,"['FINAL FANTASY XIV Online', 'New World', 'Outriders', 'Valheim', 'Atlas']",English
Subroza,"['VALORANT', 'Just Chatting', 'Apex Legends', 'Knockout City', 'Valorant']",English
SuperHenryTran,"['Just Chatting', 'League of Legends', 'Among Us', 'Minecraft', 'Life is Strange 2']",French
Swagg,"['Call of Duty: Warzone', 'Sports', 'Call of Duty: Vanguard', 'Just Chatting', 'Knockout City']",English
Sweet_Anita,"['Just Chatting', 'Apex Legends', 'Grand Theft Auto V', 'Poker', 'Among Us']",English
Sykkuno,"['Grand Theft Auto V', 'VALORANT', 'Among Us', 'Just Chatting', 'Rust']",English
Symfuhny,"['Call of Duty: Warzone', 'Apex Legends', 'Rust', 'Knockout City', 'Back 4 Blood']",English
SypherPK,"['Fortnite', 'Call of Duty: Warzone', 'Apex Legends', 'New World', 'Just Chatting']",English
TPAIN,"['Music', 'Just Chatting', 'Forza Horizon 4', 'Assetto Corsa', 'Rust']",English
TSM_Bjergsen,['League of Legends'],English
TSM_ImperialHal,"['Apex Legends', 'The Dark Pictures Anthology: House of Ashes', 'Naraka: Bladepoint', 'Among Us', 'Raid: Shadow Legends']",English
TaySon,"['Fortnite', 'FIFA 22', 'VALORANT']",English
Technoblade,[],English
Tectone,"['Genshin Impact', 'Among Us', 'Apex Legends', 'Just Chatting', 'Pokémon HeartGold/SoulSilver']",English
TenZ,"['VALORANT', 'League of Legends', 'Genshin Impact', 'Valheim', 'It Takes Two']",English
Terracid,"['Minecraft', 'Valheim', 'Just Chatting', 'Counter-Strike: Global Offensive', 'Forza Horizon 4']",French
Tfue,"['Minecraft', 'Call of Duty: Warzone', 'Apex Legends', 'Grand Theft Auto V', 'Just Chatting']",English
TheGrefg,"['Fortnite', 'Just Chatting', 'Minecraft', 'Clash Royale', 'Rust']",Spanish
TheKAIRI78,"['Fortnite', 'Just Chatting', 'Grand Theft Auto V', 'Call of Duty: Black Ops III', 'FIFA 22']",French
ThisIsNotGeorgeNotFound,"['Minecraft', 'Just Chatting', 'Counter-Strike: Global Offensive', 'Among Us', 'Fortnite']",English
TimTheTatman,"['Call of Duty: Warzone', 'Just Chatting', 'VALORANT', 'Apex Legends', 'New World']",English
TinaKitten,"['Among Us', 'Just Chatting', 'Rust', 'Genshin Impact', 'Minecraft']",English
TobiasFate,"['League of Legends', 'Aliens: Fireteam Elite', 'Total War: Warhammer II', 'Deep Rock Galactic', 'Dawn of War - Winter Assault']",English
Tocata,"['Fortnite', 'Rocket League', 'Minecraft', 'Just Chatting', 'Grand Theft Auto V']",Spanish
Trainwreckstv,"['Slots', 'Just Chatting', 'Rust', 'Apex Legends', 'Among Us']",English
TrumpSC,"['Hearthstone', 'Stocks And Bonds', 'Age of Empires IV', 'Dyson Sphere Program', 'Slay the Spire']",English
Tubbo,"['Minecraft', 'Just Chatting', 'Counter-Strike: Global Offensive', 'Chess', 'Life is Strange']",English
TubboLIVE,"['Minecraft', 'Just Chatting', 'Counter-Strike: Global Offensive', 'VALORANT', 'Detroit: Become Human']",English
